"Town_Name","Population","Total_Offenses","Offense_Rate","Violent_Crimes","Violent_Crime_Rate","Property_Crimes","Property_Crime_Rate"
"Poteau","8,913","1,176","131.9","35","3.9","559","62.7"
"Pottawatomie","27,840","1,131","40.6","42","1.5","568","20.4"
"Prague","2,464","157","63.7","9","3.7","59","23.9"
"Purcell","6,483","818","126.2","18","2.8","325","50.1"
"Pushmataha","7,827","142","18.1","4","0.5","44","5.6"
"Quinton","987","28","28.4","6","6.1","9","9.1"
"Ramona","546","26","47.6","1","1.8","12","22.0"
"Ringling","989","46","46.5","3","3.0","10","10.1"
"Roger Mills","3,621","77","21.3","4","1.1","34","9.4"
"Roland","3,720","432","116.1","12","3.2","86","23.1"
"Rush Springs","1,271","54","42.5","2","1.6","26","20.5"
"Salina","1,381","86","62.3","9","6.5","21","15.2"
"Sallisaw","8,548","1,120","131.0","15","1.8","342","40.0"
"Sapulpa","21,062","1,341","63.7","45","2.1","571","27.1"
"Savanna","642","88","137.1","1","1.6","31","48.3"
"Sawyer","312","14","44.9","1","3.2","1","3.2"
"Sayre","4,644","121","26.1","4","0.9","54","11.6"
"Seiling","850","18","21.2","0","0.0","6","7.1"
"Seminole","12,593","587","46.6","24","1.9","278","22.1"
"Seminole","7,415","245","33.0","5","0.7","122","16.5"
"Sequoyah","22,920","1,436","62.7","83","3.6","405","17.7"
"Shady Point","995","37","37.2","1","1.0","6","6.0"
"Shattuck","1,333","11","8.3","0","0.0","9","6.8"
"Skiatook","8,018","464","57.9","14","1.7","199","24.8"
"Snyder","1,326","33","24.9","0","0.0","8","6.0"
"South Coffeyville","758","141","186.0","2","2.6","15","19.8"
"Sparks","174","3","17.2","0","0.0","3","17.2"
"Spencer","4,031","131","32.5","9","2.2","64","15.9"
"Sperry","1,292","102","78.9","5","3.9","46","35.6"
"Spiro","2,184","52","23.8","2","0.9","15","6.9"
"Sportsmen Acres","312","1","3.2","0","0.0","1","3.2"
"Stephens","14,058","345","24.5","16","1.1","185","13.2"
"Stigler","2,760","238","86.2","7","2.5","82","29.7"
"Stillwater","50,159","3,237","64.5","127","2.5","1156","23.0"
"Stilwell","4,062","475","116.9","16","3.9","277","68.2"
"Stonewall","476","8","16.8","1","2.1","3","6.3"
"Stratford","1,539","71","46.1","6","3.9","31","20.1"
"Stringtown","401","0","0.0","0","0.0","0","0.0"
"Stroud","2,792","188","67.3","7","2.5","75","26.9"
"Sulphur","5,105","321","62.9","13","2.5","159","31.1"
"Tahlequah","16,905","1,603","94.8","25","1.5","922","54.5"
"Talala","278","14","50.4","0","0.0","3","10.8"
"Talihina","1,094","38","34.7","3","2.7","15","13.7"
"Tecumseh","6,699","455","67.9","12","1.8","209","31.2"
"Texas","4,307","107","24.8","2","0.5","37","8.6"
"Texhoma","955","21","22.0","2","2.1","3","3.1"
"Thackerville","478","29","60.7","0","0.0","6","12.6"
"Thomas","1,235","1","0.8","0","0.0","1","0.8"
"Tillman","1,986","68","34.2","1","0.5","40","20.1"
"Tipton","779","23","29.5","0","0.0","6","7.7"
